codigo_barras,nome_produto,descricao
7896256600230,LEITE UHT SEMI DESNATADO TIROL TP 1000ML,LTE UHT S DES TP TIR 1L
7896185312419,LEITE UHT DESNATADO SHEFA GARRAFA 1000ML,LEITE L V SHE
7896185312396,LEITE UHT INTEGRAL SHEFA GARRAFA 1000ML,LEITE SHEFA INTEG.1LT
7896185312396,LEITE UHT INTEGRAL SHEFA GARRAFA 1000ML,LEITE SHEFA INTEGRAL 1LT
7896185312396,LEITE UHT INTEGRAL SHEFA GARRAFA 1000ML,LEITE L VIDA SHEFA INTEGRAL GARRAFA 1L
7896256600247,LEITE UHT DESNATADO LIGHT TIROL TP 1000ML,QUEIJO PRATO TIROL LANC
7896256600223,LEITE UHT INTEGRAL TIROL TP 1000ML,LEITE TIROL INTEGR.1
7896256600223,LEITE UHT INTEGRAL TIROL TP 1000ML,LEITE LVTIROL 1LT
7896256600223,LEITE UHT INTEGRAL TIROL TP 1000ML,LEIT LV TIROL INT 1
7896185312396,LEITE UHT INTEGRAL SHEFA GARRAFA 1000ML,LEITE SHEFA INT GAR 1L
7896185312419,LEITE UHT DESNATADO SHEFA GARRAFA 1000ML,LT SHEFA DESNATADO
7896256600223,LEITE UHT INTEGRAL TIROL TP 1000ML,LEITE TIROL 1LT INTEGRAL - 1X1LT
7896256600223,LEITE UHT INTEGRAL TIROL TP 1000ML,L.UHT TIROL INT.1L
7896185312396,LEITE UHT INTEGRAL SHEFA GARRAFA 1000ML,LEITE SHEFA GARRAFA 1LT INTEGRAL
7896256600223,LEITE UHT INTEGRAL TIROL TP 1000ML,LEITE INTEGRAL TIRO
7896185312419,LEITE UHT DESNATADO SHEFA GARRAFA 1000ML,LEITE UHT SHEFA DESNATADO 1 LT
7896185312396,LEITE UHT INTEGRAL SHEFA GARRAFA 1000ML,LEITE L.V. SHEFA GF 1L INTEGRAL
7896256600223,LEITE UHT INTEGRAL TIROL TP 1000ML,LEITE TIROL 1L INTEGR
7896185312396,LEITE UHT INTEGRAL SHEFA GARRAFA 1000ML,##04012010#LEITE INTEGRAL SHEFA
7896185312396,LEITE UHT INTEGRAL SHEFA GARRAFA 1000ML,SHEFA INT GARRAFA 1L
7896256600247,LEITE UHT DESNATADO LIGHT TIROL TP 1000ML,LEITE L VIDA TIROL 1LT DESNATA
7896569400268,LEITE UHT DESNATADO LIDER TP CAIXA 12 X 1000ML,LEITE L.VIDA LIDER 1LI
7896185312396,LEITE UHT INTEGRAL SHEFA GARRAFA 1000ML,LEITE UHT SHEFA GFA 1L I
7896185312419,LEITE UHT DESNATADO SHEFA GARRAFA 1000ML,LEITE LONGA VIDA SHEFA DESNATADO PET 1L
7896185312396,LEITE UHT INTEGRAL SHEFA GARRAFA 1000ML,LEITE UHT SHEFA 1L GARRAFA INTEGRAL
7896569400244,LEITE UHT INTEGRAL LIDER TP CAIXA 12 X 1000ML,LEITE LIDER 12X1L INTE
7896256600230,LEITE UHT SEMI DESNATADO TIROL TP 1000ML,LEITE TIROL S. DES1L
7896185312419,LEITE UHT DESNATADO SHEFA GARRAFA 1000ML,LEITE UHT GFA DESNATADO
7896256600223,LEITE UHT INTEGRAL TIROL TP 1000ML,LEITE LG VIDA 1L
7896185312419,LEITE UHT DESNATADO SHEFA GARRAFA 1000ML,LEITE L.V.SHEFA GFA
7896185312396,LEITE UHT INTEGRAL SHEFA GARRAFA 1000ML,LEITE SHEFA INTEGRAL GARRAFA 1LT
7896569400206,LEITE UHT INTEGRAL LIDER TP 1000ML,LEITE UHT LIDER INTEGRAL TP 1L
