codigo_barras,nome_produto,descricao
7896185312402,LEITE UHT SEMI DESNATADO SHEFA GARRAFA 1000ML,LEITE SHEFA 1L SEMID
7896185312396,LEITE UHT INTEGRAL SHEFA GARRAFA 1000ML,LEITE L VIDA S
7896256600223,LEITE UHT INTEGRAL TIROL TP 1000ML,LEITE EST TIROL 1 LT
7896256600223,LEITE UHT INTEGRAL TIROL TP 1000ML,LEITE L.V.TIROL 1L INTEG
7896185312396,LEITE UHT INTEGRAL SHEFA GARRAFA 1000ML,LEITE L V SHE
7896256600247,LEITE UHT DESNATADO LIGHT TIROL TP 1000ML,LEITE TIROL DESNATADO 1L
7896185312396,LEITE UHT INTEGRAL SHEFA GARRAFA 1000ML,LEITE.LV.SHEFA GAR.1
7896185312396,LEITE UHT INTEGRAL SHEFA GARRAFA 1000ML,LEITE LONGA VIDA INTEGRAL SHEFA PET 1L
7896185312396,LEITE UHT INTEGRAL SHEFA GARRAFA 1000ML,LEITE SHEFA INTEGRAL GARRAFA PET 1L
7896256600223,LEITE UHT INTEGRAL TIROL TP 1000ML,LEITE UHT TIROL 1LT
7896185312419,LEITE UHT DESNATADO SHEFA GARRAFA 1000ML,LEITE LV SHEFA GF 1L
7896256600230,LEITE UHT SEMI DESNATADO TIROL TP 1000ML,LEITE L.V.TIROL
7896185312396,LEITE UHT INTEGRAL SHEFA GARRAFA 1000ML,LTE SHEFA PET INT
7896185312402,LEITE UHT SEMI DESNATADO SHEFA GARRAFA 1000ML,LEITE SHEFA SEMI DESN 1L
7896256600230,LEITE UHT SEMI DESNATADO TIROL TP 1000ML,LEITE LV SEMI DESN TIR
7896185312419,LEITE UHT DESNATADO SHEFA GARRAFA 1000ML,LEITE L V SHEFA GFA 1L D
7896256600223,LEITE UHT INTEGRAL TIROL TP 1000ML,TIROL INTEGRAL 1L
7896256600223,LEITE UHT INTEGRAL TIROL TP 1000ML,"LEITE TIROL L.VIDA 1L, INTEGRAL"
7896185312419,LEITE UHT DESNATADO SHEFA GARRAFA 1000ML,LEITE SHEFA GARRAFA
7896185312396,LEITE UHT INTEGRAL SHEFA GARRAFA 1000ML,LEITE SHEFA INTEGRAL GARRAFA 1 LT
7896569400244,LEITE UHT INTEGRAL LIDER TP CAIXA 12 X 1000ML,LEITE L VIDA LIDER 1 LT INTEGRAL CX 12 X 1LT
7896185312402,LEITE UHT SEMI DESNATADO SHEFA GARRAFA 1000ML,LEITE UHT SHEFA SEMI DESNATADO 1 LT
7896185312396,LEITE UHT INTEGRAL SHEFA GARRAFA 1000ML,LEITE LV SHEFA 1L
7896256600223,LEITE UHT INTEGRAL TIROL TP 1000ML,LEITE L.V.TIROL INTEG
7896256600223,LEITE UHT INTEGRAL TIROL TP 1000ML,LEITE TIROL UHT INTEGRAL 1L
7896256600223,LEITE UHT INTEGRAL TIROL TP 1000ML,LEITE UHT TIROL INT 1L
7896185312419,LEITE UHT DESNATADO SHEFA GARRAFA 1000ML,LEITE SHEFA 1 LT.
7896256600230,LEITE UHT SEMI DESNATADO TIROL TP 1000ML,LEITE TIROL 1LT SE
7896256600223,LEITE UHT INTEGRAL TIROL TP 1000ML,LEITE L VIDA TIROL 1L INT
7896185312419,LEITE UHT DESNATADO SHEFA GARRAFA 1000ML,L VI SHEF GFA DES 1L
7896185312402,LEITE UHT SEMI DESNATADO SHEFA GARRAFA 1000ML,LEITE L.V.SHEFA GFA.SEMI DESNA
7896185312419,LEITE UHT DESNATADO SHEFA GARRAFA 1000ML,LEITE UHT PET DESNATADO SHEFA 1LT
7896256600230,LEITE UHT SEMI DESNATADO TIROL TP 1000ML,LEITE LV TIROL 1L TP SEMI DESN
7896256600223,LEITE UHT INTEGRAL TIROL TP 1000ML,"LEITE TIROL 1L I(0,90)"
7896185312419,LEITE UHT DESNATADO SHEFA GARRAFA 1000ML,LEITE SHEFA DESN GF 1L
7896569400244,LEITE UHT INTEGRAL LIDER TP CAIXA 12 X 1000ML,LTE LIDER INT 12X1L
7896185310033,LEITE UHT INTEGRAL SHEFA TP 1000ML,LEITE L VIDA SHEFA 1 LT INTEGRAL 1LT
7896185312396,LEITE UHT INTEGRAL SHEFA GARRAFA 1000ML,LTE INT SHEFA PET
7896185312396,LEITE UHT INTEGRAL SHEFA GARRAFA 1000ML,LEITE UHT INTEGRAL SHEFA PET 1L
7896185312396,LEITE UHT INTEGRAL SHEFA GARRAFA 1000ML,LEITE UHT INTEGRAL SHEFA 1L GF
7896185312396,LEITE UHT INTEGRAL SHEFA GARRAFA 1000ML,LEITE LVIDA SHEFA PET 1L
7896185312419,LEITE UHT DESNATADO SHEFA GARRAFA 1000ML,LEITE SHEFA GARRAFA 1LT DESNATADO UNIDADE
7896185312396,LEITE UHT INTEGRAL SHEFA GARRAFA 1000ML,LEITE SHEFA PET 1LT INTEGRAL
7896185312396,LEITE UHT INTEGRAL SHEFA GARRAFA 1000ML,LEITE UHT SHEFA GARR
7896185312396,LEITE UHT INTEGRAL SHEFA GARRAFA 1000ML,LEITE LVSHEFA GARR
7896185312396,LEITE UHT INTEGRAL SHEFA GARRAFA 1000ML,##04012010#LEITE INTEGRAL SHEFA UN
7896185312396,LEITE UHT INTEGRAL SHEFA GARRAFA 1000ML,LEITE SHEFA INTEGRAL GFA
7896185312396,LEITE UHT INTEGRAL SHEFA GARRAFA 1000ML,LEITE SHEFA INTEG GAR 1L
7896185312402,LEITE UHT SEMI DESNATADO SHEFA GARRAFA 1000ML,LEITE UHT SHEFA SEM/
7896256600223,LEITE UHT INTEGRAL TIROL TP 1000ML,LEITE%20L%20VIDA%20TIROL%201L%20INTEGRAL
7896256600223,LEITE UHT INTEGRAL TIROL TP 1000ML,LEITE LONGA TIROL
7896256600223,LEITE UHT INTEGRAL TIROL TP 1000ML,LEITE LV TIROL INT
7896185312396,LEITE UHT INTEGRAL SHEFA GARRAFA 1000ML,LE.SHEF.1L INTEGRAL
7896569400244,LEITE UHT INTEGRAL LIDER TP CAIXA 12 X 1000ML,LEITE LIDER 1L INTEGRAL
7896256600223,LEITE UHT INTEGRAL TIROL TP 1000ML,"LEITE TIROL 1L I(0,20)"
7896185312396,LEITE UHT INTEGRAL SHEFA GARRAFA 1000ML,LEITE LV SHEFA GF 1LT
7896185312396,LEITE UHT INTEGRAL SHEFA GARRAFA 1000ML,LEITE UHT SHEF IN 1L
7896185312419,LEITE UHT DESNATADO SHEFA GARRAFA 1000ML,MACA GRAN SMITH KG PESO KG PRECO KG
7896256600247,LEITE UHT DESNATADO LIGHT TIROL TP 1000ML,LEITE LV TIROL 1L TP DES
7896185312402,LEITE UHT SEMI DESNATADO SHEFA GARRAFA 1000ML,LEITE SHEFA UHT SEMI DESN GF 1L
7896185312419,LEITE UHT DESNATADO SHEFA GARRAFA 1000ML,SHEFA LEITE 1LT DESNATADO GFA
7896185312396,LEITE UHT INTEGRAL SHEFA GARRAFA 1000ML,LEITE SHEFA INT GAR
7896185312419,LEITE UHT DESNATADO SHEFA GARRAFA 1000ML,LEITE SHEFA DESNA 1L
7896256600230,LEITE UHT SEMI DESNATADO TIROL TP 1000ML,LEITE L VIDA SEMI DESN TIROL TP 1L
7896256600315,LEITE UHT SEMI DESNATADO TIROL TP 1000ML,LEITE SEMI TIROL 1LT C
7896185312396,LEITE UHT INTEGRAL SHEFA GARRAFA 1000ML,PRODUTO
7896256600223,LEITE UHT INTEGRAL TIROL TP 1000ML,LEITETIROLLT
7896569400244,LEITE UHT INTEGRAL LIDER TP CAIXA 12 X 1000ML,LEITE INT L V LIDER 12X1
7896185312396,LEITE UHT INTEGRAL SHEFA GARRAFA 1000ML,LEITE UHT SHEFA GF 1L
7896185312396,LEITE UHT INTEGRAL SHEFA GARRAFA 1000ML,LEITE GFA SHEFA INTEGRAL 1L
7896256600223,LEITE UHT INTEGRAL TIROL TP 1000ML,LEITE TIROL 1 LITRO INTEGRAL
7896185312402,LEITE UHT SEMI DESNATADO SHEFA GARRAFA 1000ML,LTE SHEFA G 1L SEMID
7896256600223,LEITE UHT INTEGRAL TIROL TP 1000ML,LEITE UHT TIROL 1 LT
7896185312402,LEITE UHT SEMI DESNATADO SHEFA GARRAFA 1000ML,LEITE SHEFA L.VIDA GF 1L
7896256600247,LEITE UHT DESNATADO LIGHT TIROL TP 1000ML,LTE LV TIROL DES 1L
7896185312396,LEITE UHT INTEGRAL SHEFA GARRAFA 1000ML,LEITE SHEFA UHT 1000ML INTEGRA
7896256600247,LEITE UHT DESNATADO LIGHT TIROL TP 1000ML,LTE TIROL DESN
7896185312396,LEITE UHT INTEGRAL SHEFA GARRAFA 1000ML,LEITE SHEFA UHT INT
7896185312402,LEITE UHT SEMI DESNATADO SHEFA GARRAFA 1000ML,LEITE SHEFA SEMID.1L
7896256600223,LEITE UHT INTEGRAL TIROL TP 1000ML,LEITE LV TIROL INT 1L
7896256600247,LEITE UHT DESNATADO LIGHT TIROL TP 1000ML,LEITE L VIDA TIROL DES 1L
7896185312419,LEITE UHT DESNATADO SHEFA GARRAFA 1000ML,LEITE LV SHEFA GFA DESNATADO 1000ML
7896185312402,LEITE UHT SEMI DESNATADO SHEFA GARRAFA 1000ML,LEITE L VIDA SHEFA SEMIDESN PET 1L
7896256600230,LEITE UHT SEMI DESNATADO TIROL TP 1000ML,LEITE TIROL SEMI DESNA
7896185312396,LEITE UHT INTEGRAL SHEFA GARRAFA 1000ML,LEITE SHEFA GFA INTEGRAL 1LT.
7896256600223,LEITE UHT INTEGRAL TIROL TP 1000ML,TIROL-LEITE INTEGRAL UHT
7896256600230,LEITE UHT SEMI DESNATADO TIROL TP 1000ML,*K* LEITE LONGA VIDA SEMI DESN TIROL 1L
7896185312402,LEITE UHT SEMI DESNATADO SHEFA GARRAFA 1000ML,LEITE SHEFA SEMI DESN G 1L
7896185312396,LEITE UHT INTEGRAL SHEFA GARRAFA 1000ML,LEITE SHEFA 1L GF INT
7896185312402,LEITE UHT SEMI DESNATADO SHEFA GARRAFA 1000ML,LEITE SHEFA GF S.DESN 1L
7896185312402,LEITE UHT SEMI DESNATADO SHEFA GARRAFA 1000ML,SHEFA LEITE SEMI DESNATADO G
7896185312396,LEITE UHT INTEGRAL SHEFA GARRAFA 1000ML,LEITE L/V SHEFA INT 1L
7896185312402,LEITE UHT SEMI DESNATADO SHEFA GARRAFA 1000ML,LEITE L V SHEFA S D 1L
7896185312396,LEITE UHT INTEGRAL SHEFA GARRAFA 1000ML,LEITE SHEFA GARRAFA INTEGRAL
7896256600230,LEITE UHT SEMI DESNATADO TIROL TP 1000ML,"LEITE TIROL 1 I(0,25)"
7896185312402,LEITE UHT SEMI DESNATADO SHEFA GARRAFA 1000ML,LEITE L.V. SHEFA GF 1L SEMI DESNATADO
7896256600223,LEITE UHT INTEGRAL TIROL TP 1000ML,"LEITE TIROL 1L I(0,62)"
7896256600223,LEITE UHT INTEGRAL TIROL TP 1000ML,LEITE TIROL 1LT INTE
7896185312402,LEITE UHT SEMI DESNATADO SHEFA GARRAFA 1000ML,##22029000#LEITE SHEFA S.DESNAT
7896185312419,LEITE UHT DESNATADO SHEFA GARRAFA 1000ML,LEITE UHT SHEFA GF 1L
7896185312402,LEITE UHT SEMI DESNATADO SHEFA GARRAFA 1000ML,LEITE SHEFA SEMI DESNATADO GFA 1L
7896185310057,LEITE UHT SEMI DESNATADO SHEFA TP 1000ML,LEITE SHEFA LV 1LT SEMI DESNA UNIDADE
7896185312402,LEITE UHT SEMI DESNATADO SHEFA GARRAFA 1000ML,LEITE SHEFA SEMIDESNATADO
7896256600247,LEITE UHT DESNATADO LIGHT TIROL TP 1000ML,LEITE L.V TIROL DESN
7896185312396,LEITE UHT INTEGRAL SHEFA GARRAFA 1000ML,LEITE SHEFA 1L GARRAFA INTEGRA
7896185312402,LEITE UHT SEMI DESNATADO SHEFA GARRAFA 1000ML,LEITE SHEFA GARRAFA SEMI-DESNA
7896256600247,LEITE UHT DESNATADO LIGHT TIROL TP 1000ML,LEITE LV TIROL 1LT DESNATA
7896185312396,LEITE UHT INTEGRAL SHEFA GARRAFA 1000ML,LEITE SHEFA GA INTE 1LT
7896256600223,LEITE UHT INTEGRAL TIROL TP 1000ML,"LEITE TIROL 1L I(0,64)"
7896185312402,LEITE UHT SEMI DESNATADO SHEFA GARRAFA 1000ML,LEITE%20UHT%20SHEFA%201L%20SEMI%20DESNATADO
7896256600230,LEITE UHT SEMI DESNATADO TIROL TP 1000ML,LEITE L.V. TIROL SEMI DESN CI001CI 1LT
7896185312402,LEITE UHT SEMI DESNATADO SHEFA GARRAFA 1000ML,LEITE L V SHEFA 1L
7896185312419,LEITE UHT DESNATADO SHEFA GARRAFA 1000ML,LEITE SHEFA 1LT DESNATAD
7896256600223,LEITE UHT INTEGRAL TIROL TP 1000ML,LEITE INTEG.TIROL 1LT
7896185312402,LEITE UHT SEMI DESNATADO SHEFA GARRAFA 1000ML,LEITE LONGA VIDA SEMID
7896256600223,LEITE UHT INTEGRAL TIROL TP 1000ML,"LEITE LV TIROL INT UN001TP 1L (QTDE X PRECO) -/+ DESCONTO/ACRESCIMO = 4,000 X 2,1500000"
7896185312396,LEITE UHT INTEGRAL SHEFA GARRAFA 1000ML,LEITE L/V SHEFA INT GF 1000ML
7896256600223,LEITE UHT INTEGRAL TIROL TP 1000ML,LEITE TIROL I 1
7896185310040,LEITE UHT DESNATADO SHEFA TP 1000ML,[PROMOCAO] LEITE SHEFA DESN. 1
7896185312402,LEITE UHT SEMI DESNATADO SHEFA GARRAFA 1000ML,LEITE SHEFA SEMI DESNATADO GA
7896185312402,LEITE UHT SEMI DESNATADO SHEFA GARRAFA 1000ML,LEITE UHT SHEFA SEMI DESNATADO GARRAFA 1L
7896256600247,LEITE UHT DESNATADO LIGHT TIROL TP 1000ML,&LEITE UHT TIROL DESN
7896256600247,LEITE UHT DESNATADO LIGHT TIROL TP 1000ML,LEITE LV TIROL 1L
7896256600247,LEITE UHT DESNATADO LIGHT TIROL TP 1000ML,LEITE DESNATADO 1 LT
7896185312419,LEITE UHT DESNATADO SHEFA GARRAFA 1000ML,LEITE SHEFA DESNATADO PE
7896185312396,LEITE UHT INTEGRAL SHEFA GARRAFA 1000ML,LEITE SHEFA INTEGRAL PET 1L - GF
7896256600223,LEITE UHT INTEGRAL TIROL TP 1000ML,[PROMOCAO] LEITE LO
7896185312402,LEITE UHT SEMI DESNATADO SHEFA GARRAFA 1000ML,LEITE LONGA VIDA SHEFA 1L SEMI
7896256600223,LEITE UHT INTEGRAL TIROL TP 1000ML,#1701600#04012010#LE
7896256600230,LEITE UHT SEMI DESNATADO TIROL TP 1000ML,LEITE LONGA VIDA TIROL 1LT
7896256600223,LEITE UHT INTEGRAL TIROL TP 1000ML,LEITE TIROL TP INTEGRAL
7896256600223,LEITE UHT INTEGRAL TIROL TP 1000ML,"LEITE TIROL 1L I(0,46)"
7896256600247,LEITE UHT DESNATADO LIGHT TIROL TP 1000ML,##04011090#LEITE TIROL DESNATAD
7896256600223,LEITE UHT INTEGRAL TIROL TP 1000ML,LEITE UHT INTEGRAL TIROL 1 L
7896185312396,LEITE UHT INTEGRAL SHEFA GARRAFA 1000ML,*PR* LEITE LONGA VIDA INTEGRAL SHEFA PET 1L
7896256600223,LEITE UHT INTEGRAL TIROL TP 1000ML,"LEITE TIROL 1L I(3,69)"
7896256600247,LEITE UHT DESNATADO LIGHT TIROL TP 1000ML,LEITE TIROL UHT DESNATADO 1L
7896256600247,LEITE UHT DESNATADO LIGHT TIROL TP 1000ML,LEITE L VIDA 1LT TIROL DESNATADO
7896185312396,LEITE UHT INTEGRAL SHEFA GARRAFA 1000ML,LEITE L VIDA SH
7896569400213,LEITE UHT SEMI DESNATADO LIDER TP 1000ML,LEITE LIDER S.DESN
7896185312402,LEITE UHT SEMI DESNATADO SHEFA GARRAFA 1000ML,LEIT LV SHEFA 1LT
7896185312396,LEITE UHT INTEGRAL SHEFA GARRAFA 1000ML,LEITE UHT SHEFA INTEGRAL GARRAFA 1L NF ENTRADA 54261 17/10/2017
7896256600223,LEITE UHT INTEGRAL TIROL TP 1000ML,LEITE LV INTEGRAL TIROL
7896256600223,LEITE UHT INTEGRAL TIROL TP 1000ML,"LEITE TIROL 1L I(2,16)"
7896256600230,LEITE UHT SEMI DESNATADO TIROL TP 1000ML,"LEITE TIROL 1 I(0,48)"
7896185312396,LEITE UHT INTEGRAL SHEFA GARRAFA 1000ML,"LEITE SHEFA I(1,36)"
7896185312419,LEITE UHT DESNATADO SHEFA GARRAFA 1000ML,LEITE SHEFA 1L DESN UHT GFA
7896256600223,LEITE UHT INTEGRAL TIROL TP 1000ML,"LEITE TIROL 1L I(0,32)"
7896185312419,LEITE UHT DESNATADO SHEFA GARRAFA 1000ML,LEITE L V SHEFA 1L DES
7896256600247,LEITE UHT DESNATADO LIGHT TIROL TP 1000ML,"LEITE TIROL 1L I(0,41)"
7896185312402,LEITE UHT SEMI DESNATADO SHEFA GARRAFA 1000ML,LEITE SHEFA GARRAFA SEMI DESNA
7896256600247,LEITE UHT DESNATADO LIGHT TIROL TP 1000ML,"LEITE TIROL 1L I(0,50)"
7896569400206,LEITE UHT INTEGRAL LIDER TP 1000ML,[PROMOCAO] LEITE LIDER INTEGRA
7896256600223,LEITE UHT INTEGRAL TIROL TP 1000ML,"LEITE TIROL 1L I(0,31)"
7896185312396,LEITE UHT INTEGRAL SHEFA GARRAFA 1000ML,LEITE SHEFA 1L INTEGRAL UN
7896185312419,LEITE UHT DESNATADO SHEFA GARRAFA 1000ML,LEITE L-VIDA SHEFA G
7896185312402,LEITE UHT SEMI DESNATADO SHEFA GARRAFA 1000ML,SHEFA SEMIDESNATADO 1L
7896256600339,LEITE UHT INTEGRAL TIROL TP CAIXA 12 X 1000ML,"LEITE TIROL I(0,90)"
7896256600223,LEITE UHT INTEGRAL TIROL TP 1000ML,COUVE PICADA
7896185312396,LEITE UHT INTEGRAL SHEFA GARRAFA 1000ML,LEITE UHT SHEFA 1LT INTEGRAL
7896256600247,LEITE UHT DESNATADO LIGHT TIROL TP 1000ML,LEITE DESNATADO 1L TIROL
7896185312402,LEITE UHT SEMI DESNATADO SHEFA GARRAFA 1000ML,LEITE UHT GFA SEMI DESNATADO SHEFA 1000 ML
7896185312396,LEITE UHT INTEGRAL SHEFA GARRAFA 1000ML,LEITE INTEGRAL 1L
7896185312396,LEITE UHT INTEGRAL SHEFA GARRAFA 1000ML,L V SHEFA INT
7896185312396,LEITE UHT INTEGRAL SHEFA GARRAFA 1000ML,LEITE SHEFA LT INT
7896256600223,LEITE UHT INTEGRAL TIROL TP 1000ML,"LEITE TIROL 1L I(2,30)"
7896185312419,LEITE UHT DESNATADO SHEFA GARRAFA 1000ML,"LEITE SHEFA 1 I(0,72)"
7896185312419,LEITE UHT DESNATADO SHEFA GARRAFA 1000ML,LEITE SHEFA DESNATADO PT 1L
7896185312396,LEITE UHT INTEGRAL SHEFA GARRAFA 1000ML,LEITE .1LT - PT - SHEFA - INTEGRAL
7896256600223,LEITE UHT INTEGRAL TIROL TP 1000ML,LEITE INTEGR TIROL 1L
7896185312402,LEITE UHT SEMI DESNATADO SHEFA GARRAFA 1000ML,LEITE SHEFA SEMIDESNATADO UHT 1 L
7896256600223,LEITE UHT INTEGRAL TIROL TP 1000ML,LEITE L.V.TIROL 1L
7896569400251,LEITE UHT SEMI DESNATADO LIDER TP CAIXA 12 X 1000ML,ATC LEITE SEMIDESNATADO LIDER 1L C/12
7896256600223,LEITE UHT INTEGRAL TIROL TP 1000ML,LEITE TIROL INTEGRAL 1 L
7896256600223,LEITE UHT INTEGRAL TIROL TP 1000ML,LEITE L VIDA TIROL LT
7896185312402,LEITE UHT SEMI DESNATADO SHEFA GARRAFA 1000ML,LEITE LV SHEFA 1L
7896185312396,LEITE UHT INTEGRAL SHEFA GARRAFA 1000ML,LEITE LV SHEFA GF 1L
7896256600223,LEITE UHT INTEGRAL TIROL TP 1000ML,LEITE UHT INTEG TIROL 1L
7896256600223,LEITE UHT INTEGRAL TIROL TP 1000ML,LEITE UHT TIROL INTEGR
7896185312396,LEITE UHT INTEGRAL SHEFA GARRAFA 1000ML,LEITE GF SHEFA INTEGRAL 1L
7896256600230,LEITE UHT SEMI DESNATADO TIROL TP 1000ML,LEITE TIROL SEMI DESN 1LT
7896256600247,LEITE UHT DESNATADO LIGHT TIROL TP 1000ML,LEITE TIROL D 1L
7896185312402,LEITE UHT SEMI DESNATADO SHEFA GARRAFA 1000ML,LEITE SHEFA GFA.1L
7896256600223,LEITE UHT INTEGRAL TIROL TP 1000ML,LEITE TIROL INT 1L
7896185312402,LEITE UHT SEMI DESNATADO SHEFA GARRAFA 1000ML,LEITE SHEFA SEMI 1LT
7896185312402,LEITE UHT SEMI DESNATADO SHEFA GARRAFA 1000ML,LEITE SHEFA 1L SEMI-D
7896256600247,LEITE UHT DESNATADO LIGHT TIROL TP 1000ML,LEITE LV TIROL DESNAT 1L
7896185312402,LEITE UHT SEMI DESNATADO SHEFA GARRAFA 1000ML,LEITE UHT SEMI DESN SH
7896256600247,LEITE UHT DESNATADO LIGHT TIROL TP 1000ML,LEITE TIROL 1L DESN.
7896256600223,LEITE UHT INTEGRAL TIROL TP 1000ML,LEITE L V TIROL
7896256600223,LEITE UHT INTEGRAL TIROL TP 1000ML,LEITE TIROL INTEGRAL TP 1L
7896256600223,LEITE UHT INTEGRAL TIROL TP 1000ML,TIROL LEITE TP.1L INTEGRAL
7896256600247,LEITE UHT DESNATADO LIGHT TIROL TP 1000ML,LEITE LV DESN TIROL 1L
7896185312419,LEITE UHT DESNATADO SHEFA GARRAFA 1000ML,LEITE SHEFA UHT G 1L
7896185312402,LEITE UHT SEMI DESNATADO SHEFA GARRAFA 1000ML,LEITE L V SHEFA S 1L
7896256600223,LEITE UHT INTEGRAL TIROL TP 1000ML,LEITE L.VIDA TIROL1L
7896256600230,LEITE UHT SEMI DESNATADO TIROL TP 1000ML,LEITE L.VIDA TIROL 1000ML
7896185312396,LEITE UHT INTEGRAL SHEFA GARRAFA 1000ML,LEITE SHEFA GFA 1LT I
7896185312419,LEITE UHT DESNATADO SHEFA GARRAFA 1000ML,LEITE UHT SHEFA GF 1L .
7896185312396,LEITE UHT INTEGRAL SHEFA GARRAFA 1000ML,#1702600#04012010#LEITE SH
7896569400268,LEITE UHT DESNATADO LIDER TP CAIXA 12 X 1000ML,LEITE LV DESN LIDER
7896256600223,LEITE UHT INTEGRAL TIROL TP 1000ML,LEITE UHT TIROL INTE
7896185312396,LEITE UHT INTEGRAL SHEFA GARRAFA 1000ML,LEITE LV SHEFA INT 1
7896185312402,LEITE UHT SEMI DESNATADO SHEFA GARRAFA 1000ML,L.SHEFA GR.S.DES1000
7896185312396,LEITE UHT INTEGRAL SHEFA GARRAFA 1000ML,LEITE SHEFA INTEGRAL UHT 1L
7896185312396,LEITE UHT INTEGRAL SHEFA GARRAFA 1000ML,LEITE LV SHEFA 1L GF INTEGRAL
7896256600230,LEITE UHT SEMI DESNATADO TIROL TP 1000ML,LEITE L.V.TIROL SEMI-DESN.1L.
7896256600230,LEITE UHT SEMI DESNATADO TIROL TP 1000ML,LEITE TIROL SEMI DESNATADO 1LT
7896256600247,LEITE UHT DESNATADO LIGHT TIROL TP 1000ML,LEITE TIROL 1LT DE
7896256600223,LEITE UHT INTEGRAL TIROL TP 1000ML,LEITE LONGA VIDA TIROL 1LT
7896569400206,LEITE UHT INTEGRAL LIDER TP 1000ML,LEITE LONGA VIDA LIDER 1L INTEGRAL
7896185312396,LEITE UHT INTEGRAL SHEFA GARRAFA 1000ML,LEITE L.V SHEFA INT GARRAFA 1LITRO
7896185312419,LEITE UHT DESNATADO SHEFA GARRAFA 1000ML,LEI LV SHE DES
7896256600223,LEITE UHT INTEGRAL TIROL TP 1000ML,LEITE L VIDA TIROL 1LT INTEGRAL
7896256600223,LEITE UHT INTEGRAL TIROL TP 1000ML,LEITE UHT TIROL 1L I
7896256600223,LEITE UHT INTEGRAL TIROL TP 1000ML,"LEITE TIROL 1L I(0,09)"
7896185312396,LEITE UHT INTEGRAL SHEFA GARRAFA 1000ML,LEITE SHEFA INT.1L
7896185312419,LEITE UHT DESNATADO SHEFA GARRAFA 1000ML,LEITE SHEFA PET DESNATADO 1L
7896185312419,LEITE UHT DESNATADO SHEFA GARRAFA 1000ML,LEITE LONGA VIDA SHEFA 1L DESNATADO GARRAFA
7896185312402,LEITE UHT SEMI DESNATADO SHEFA GARRAFA 1000ML,LEITE GARRAFA SHEFA 1L S
7896256600230,LEITE UHT SEMI DESNATADO TIROL TP 1000ML,LEITE L.VIDA TIROL 1L SEMI DESNATADO
7896256600223,LEITE UHT INTEGRAL TIROL TP 1000ML,##04012010#LEITE L.V TIROL UNI
7896185312402,LEITE UHT SEMI DESNATADO SHEFA GARRAFA 1000ML,SHE LEITE UHT SHEFA S
7896185312419,LEITE UHT DESNATADO SHEFA GARRAFA 1000ML,LEITE SHEFA GARRAFA DESN
7896185312419,LEITE UHT DESNATADO SHEFA GARRAFA 1000ML,LEITE UHT SHEFA DESN
7896185312402,LEITE UHT SEMI DESNATADO SHEFA GARRAFA 1000ML,LEITE L VIDA SHEFA 1LT SEMI DESNATADO
7896569400244,LEITE UHT INTEGRAL LIDER TP CAIXA 12 X 1000ML,LEITE UHT LIDER INT.
7896185312402,LEITE UHT SEMI DESNATADO SHEFA GARRAFA 1000ML,LEITE LV SHEFA GFA 1L SE
7896256600223,LEITE UHT INTEGRAL TIROL TP 1000ML,LEITE INTEGRAL TIROL LONGA VIDA 1L
7896256600223,LEITE UHT INTEGRAL TIROL TP 1000ML,LEITE L.V TIROL INTEG
7896185312396,LEITE UHT INTEGRAL SHEFA GARRAFA 1000ML,LEITE UHT GFA SHEFA 1L INTEGRAL *
7896256600223,LEITE UHT INTEGRAL TIROL TP 1000ML,LEITE INTEGRAL TIROL INTE
7896256600247,LEITE UHT DESNATADO LIGHT TIROL TP 1000ML,LEITE L.V TIROL 1LT
7896256600247,LEITE UHT DESNATADO LIGHT TIROL TP 1000ML,LEITE TIROL UHT 1LT DESNATADO UNIDADE
7896185312396,LEITE UHT INTEGRAL SHEFA GARRAFA 1000ML,##04012010#LEITE SHEFA PET 1LT
7896185312419,LEITE UHT DESNATADO SHEFA GARRAFA 1000ML,SHEFA LEITE DESNATADO GF 1L
7896185312402,LEITE UHT SEMI DESNATADO SHEFA GARRAFA 1000ML,LEITE UHT SHEFA GARRAFA SEMI DE
7896185312419,LEITE UHT DESNATADO SHEFA GARRAFA 1000ML,LEITE SHEFA GARRAFA 1LT DESNATADO 1LT
7896185312396,LEITE UHT INTEGRAL SHEFA GARRAFA 1000ML,LEITE L/V SHEFA PET
7896256600223,LEITE UHT INTEGRAL TIROL TP 1000ML,LEITE TIROL INTEG 1LT
7896256600247,LEITE UHT DESNATADO LIGHT TIROL TP 1000ML,LEITE DESN TIROL 1LT
7896185312402,LEITE UHT SEMI DESNATADO SHEFA GARRAFA 1000ML,LEITE SHEFA GF 1LT SEMI
7896185312396,LEITE UHT INTEGRAL SHEFA GARRAFA 1000ML,LEITE L.V.SHEFA GFA.
7896256600223,LEITE UHT INTEGRAL TIROL TP 1000ML,LEITE TIROL LT INTEGRAL
7896256600247,LEITE UHT DESNATADO LIGHT TIROL TP 1000ML,LEITE LONGA VIDA TIROL DESNAT
7896185312402,LEITE UHT SEMI DESNATADO SHEFA GARRAFA 1000ML,LEITE LV SHEFA 1L SEMI
7896185312419,LEITE UHT DESNATADO SHEFA GARRAFA 1000ML,LEITE SHEFA 1L DESNATADO PET
7896185312396,LEITE UHT INTEGRAL SHEFA GARRAFA 1000ML,LEITE UHT SHEFA INTEGRAL 1L GARRAFA
